top	초기화면		green|guide|mail|bbs|computer|potion|blindnews|magazin|pds|edu2013
xvtutor	8. 강의실	xvsrd	xvtutor1|xvtutor2|xvtutor3|xvtutor4|xvtutor8|xvtutor5|xvtutor6|xvtutor11|xvtutor9|xvtutor10|7|xvtutorall
xvtutor1	1. 운영체제	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor1
xvtutor2	2. 응용프로그램	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor2
xvtutor3	3. 통신및인터넷	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor3
xvtutor4	4. power edition office	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor4
xvtutor8	5. professional office	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor8
xvtutor5	6. SenseReader기본강좌	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor5
xvtutor6	7. SenseReader활용팁	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor6
xvtutor11	8. 센스월드 강의실	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor11
xvtutor9	9. 게임 강의실	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor9
xvtutor10	10. 모바일 센스 강의실	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor10
xvtutor7	11. BrailleNote 강의	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutor7
xvtutorall	12. 전체자료실	xvtutor	http://web.kbuwel.or.kr/menu/?mo=xvtutor&club=main&bcode=xvtutorall

xvpds	9. 자료실	xvsrd	xvpds1|xvpds2|xvpds3|xvpds4|xvpds5|xvpds6|xvpdsall
xvpds1	1. SenseReader자료실	xvpds	http://web.kbuwel.or.kr/menu/?mo=xvpds&club=main&bcode=xvpds1
xvpds2	2. 일반자료실	xvpds	http://web.kbuwel.or.kr/menu/?mo=xvpds&club=main&bcode=xvpds2
